ITEM_NUMBER,OUR_RETAIL,BRAND,PRICE,
FHP-GLT52B3-BN,99.97,Sidlow,92.97,
FHP-GLT52B3-BN,99.97,Stoneridge,105,
FHP-GLT52B3-BN,99.97,Armitage,65.98,
FHP-GLT52B3-BN,99.97,Glen Alden,103.99,
FHP-GLT52B3-MB,96.97,Stoneridge,89.97,
FHP-GLT52B3-MB,96.97,Hugger II,70.8,
FHP-GLT52B3-MB,96.97,Armitage,65.98,
FHP-GLT52B3-MW,96.97,Stoneridge,89.97,
FHP-GLT52B3-MW,96.97,Holly Springs,109,
FHP-GLT52B3-MW,96.97,Hugger II,69.97,
FHP-GLT52B3-MW,96.97,Armitage,65.98,
FHP-GLT52B3-MW,96.97,Glen Alden,97.22,
FP-GLT52B30-BN,79.97,Rothley II,92.97,
FP-GLT52B30-BN,79.97,Coastal Creek,89.98,
FP-GLT52B30-BN,79.97,Swanson,129.99,
FP-GLT52B30-BN,79.97,Bulider Delux,149.98,
FP-GLT52B30-MB,79.97,Rothley II,,
FP-GLT52B30-MB,79.97,Coastal Creek,89.98,
FP-GLT52B30-MW,79.97,Rothley II,,
FP-GLT52B30-MW,79.97,Coastal Creek,,
FP-GLT52B30-MW,79.97,Swanson,96.14,
FP-GLT52B30-MW,79.97,Bulider Delux,149.98,
FP-OTL52B3-MB,119,Gazebo III,,
FP-OTL52B3-MB,119,Echo Lake ,129.98,
FP-OTL52B3-MW,119,Gazebo III,129.98,
FP-OTL52B3-MW,119,Echo Lake ,129.98,
FP-STL52B30-BN,0,Glendale III,89.97,
FP-STL52B30-BN,0,Sailor Bay,89.98,
FP-STL52B30-BN,0,Swanson,129.99,
FP-STL52B30-MB,79.97,Glendale III,89.97,
FP-STL52B30-MB,79.97,Sailor Bay,,
FP-STL52B30-MW,79.97,Glendale III,69.97,
FP-STL52B30-MW,79.97,Sailor Bay,99.98,
FP-STL52B30-MW,79.97,Swanson,97.84,
FR-ARC60RGB-MB,241.53,Bayshire,149,
FR-ARC60RGB-MB,241.53,Sedgewood,213.02,
FR-ARC60RGB-MW,249,Sedgewood,204.39,
FR-ARC72RGB-MB,270.63,,0,
FR-ARC72RGB-MW,270.63,,0,
FR-CLN60RGB-BN,219,Celene II,,
FR-CLN60RGB-BN,219,Cogdell,199.98,
FR-CLN60RGB-BN,219,Bradbury,179,
FR-CLN60RGB-MB,0,Celene II,259,
FR-CLN60RGB-MB,0,Cogdell,,
FR-CLN60RGB-MB,0,Bradbury,,
FR-CLN60RGB-MW,219,Celene II,,
FR-CLN60RGB-MW,219,Cogdell,199.98,
FR-CLN60RGB-MW,219,Bradbury,,
FR-CSQ52C5-MBBG,199,,0,
FR-CSQ52C5-MWBG,193.48,,0,
FS-ATR52RGB-BN,399,Fanelee,189,
FS-ATR52RGB-BN,399,Dayton,,
FS-ATR52RGB-MB,0,Morland,159,
FS-ATR52RGB-MB,0,Fanelee,,
FS-ATR52RGB-MB,0,Dayton,199.98,
FS-ATR52RGB-MW,399,Morland,159,
FS-ATR52RGB-MW,399,Fanelee,,
FS-ATR52RGB-MW,399,Dayton,,
FS-CSN52RGB-BN,399,Fanelee,189,
FS-CSN52RGB-MB,179,Morland,159,
FS-CSN52RGB-MB,179,Fanelee,,
FS-CSN52RGB-MW,398.99,Morland,159,
FS-CSN52RGB-MW,398.99,Fanelee,,
